Titre;classe_reelle;cote_reelle;cote_predite_reduit_standard;score_reduit_standard;confiance_reduit_standard;cote_predite_reduit_rameau_off;score_reduit_rameau_off;confiance_reduit_rameau_off;cote_predite_reduit_wikidata_off;score_reduit_wikidata_off;confiance_reduit_wikidata_off;cote_predite_reduit_fewshot_off;score_reduit_fewshot_off;confiance_reduit_fewshot_off;cote_predite_reduit_fewshot_elargi;score_reduit_fewshot_elargi;confiance_reduit_fewshot_elargi;cote_predite_complet_standard;score_complet_standard;confiance_complet_standard;cote_predite_complet_rameau_off;score_complet_rameau_off;confiance_complet_rameau_off;cote_predite_complet_wikidata_off;score_complet_wikidata_off;confiance_complet_wikidata_off;cote_predite_complet_fewshot_off;score_complet_fewshot_off;confiance_complet_fewshot_off;cote_predite_complet_fewshot_elargi;score_complet_fewshot_elargi;confiance_complet_fewshot_elargi;wikidata_qid;wikidata_occupation;wikidata_resume
Jeu et détente : prise en compte dans l'aménagement de l'espace public / Certu, Centre d'études sur;;NA9197 JEUE 2002;NA9000-9428;4.0;0.95;NA4170-(7020);0.0;0.98;NA9300-9428;4.0;0.95;NA8470;0.0;0.95;NA4170-7020;0.0;0.95;NA9050.5;4.0;0.95;NA9070;4.0;0.95;NA9053.A-Z;4.0;0.95;NA9068;4.0;0.95;NA9053.E58;4.0;0.95;;;
L'urbanisme à l'époque moderne : XVIe-XVIIIe siècles / Pierre Lavedan, Jeanne Hugueney et Philippe H;;NA9094 LAVE 1982;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.95;NA9094;4.0;0.95;NA9050.5;4.0;0.95;NA9050.5;4.0;0.95;NA9050.5;4.0;0.95;NA9050.5;4.0;0.95;NA9094 URBA;4.0;0.95;;;
Interprofessionnalité et action collective dans les métiers de la conception urbaine et architectura;;NA1996 INTE 2001;NA9000-9428;0.0;0.95;NA4170-(7020);0.0;0.95;NA9000-9428;0.0;0.95;NA4170-(7020);0.0;0.95;NA9000-9428;0.0;0.95;NA9050.5;0.0;0.95;NA111;0.0;0.95;NA2542.35;0.0;0.95;NA9050.5;0.0;0.95;NA9050.5;0.0;0.95;;;
Baroque architecture / Martin S. Briggs;;NA590 BRIG 1967;NA4170-4179;0.0;0.95;NA4590-5621;0.0;0.98;NA4170-4179;0.0;0.95;NA190-1555.5;4.0;0.95;NA4170-4179;0.0;0.95;NA590;4.0;1.0;NA3463;0.0;1.0;NA590;4.0;1.0;NA590;4.0;1.0;NA590;4.0;1.0;;;
Voisins - voisines : nouvelles formes d'habitat individuel en France : [expositions présentées à la;;NA7346 VOIS 2006;NA7100-7884;4.0;0.98;NA7100-7884;4.0;0.98;NA7100-7884;4.0;1.0;NA7100-7884;4.0;0.98;NA7100-7884;4.0;0.98;NA7550;4.0;0.98;NA7555.A-Z;4.0;0.98;NA7550;4.0;0.98;NA7555.A-Z;4.0;0.98;NA7550;4.0;0.98;;;
Concours d'architecture et d'urbanisme en Suisse romande : histoire et actualité / publ. sous la dir;;NA2350.S9 CONC 1995;NA2335-2360;4.0;1.0;NA2335-2360;4.0;1.0;NA2335-2360;4.0;1.0;NA4170-7020;0.0;0.95;NA4170-7020;0.0;0.95;NA702.57.A-Z;0.0;0.95;NA9050.5;0.0;0.95;NA702.57.A-Z;0.0;0.95;NA8070;0.0;0.95;NA9094 URBA;0.0;0.95;;;
De quoi l'urbanisme est-il le projet ? : interrogations historiques et prospectives pour une évaluat;;NA9031 LORT 2023;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.98;NA9000-9428;4.0;0.95;NA9053;4.0;0.95;NA9050.5;4.0;0.95;NA9050.5;4.0;0.95;NA9050.5;4.0;0.95;NA9050.5;4.0;0.95;NA9053.P76;4.0;0.98;;;
Expositions : littérature et architecture au XIXe siècle / Philippe Hamon;;NA2543.L5 HAMO 1989;NA4170-7020;0.0;0.95;NA4170-7020;0.0;0.95;NA4170-7020;0.0;0.95;NA2500-2599;4.0;0.95;NA2500-2599;4.0;0.95;NA7117.3;0.0;0.95;NA590;0.0;0.95;NA7117.3;0.0;0.95;NA512.A-Z;0.0;0.95;NA7117.3;0.0;0.95;;;
Le dessin d'urbanisme : de la carte au schéma - concept, construire les projets de villes et de terr;;NA9197 CHIA 2002;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.95;NA9050.5;4.0;0.95;NA9050.5;4.0;0.95;NA9050.5;4.0;0.95;NA9050.5;4.0;0.95;NA9094 URBA;4.0;0.98;;;
L'urbanisme romain sous l'Empire / André Pelletier;;NA9092 PELL 1982;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.95;NA310;0.0;0.98;NA6141;0.0;1.0;NA310;0.0;0.98;NA6139;0.0;1.0;NA6141;0.0;1.0;NA310;0.0;1.0;;;
L'œil raisonné : l'invention de l'urbanisme par la carte / Enrico Chapel;;NA9183 CHAP 2010;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.98;NA9000-9428;4.0;0.95;NA9094;4.0;1.0;NA7480;0.0;0.95;NA9050.5;4.0;0.95;NA7480;0.0;0.95;NA7105;0.0;0.95;NA9094 URBA;4.0;0.98;;;
The Baroque in Central Europe : places, architecture and art / edited by Manlio Brusatin and Gilbert;;NA956 BARO 1992;NA4590-5621;0.0;0.95;NA4590-5621;0.0;0.95;NA4590-5621;0.0;0.95;NA190-1555.5;4.0;0.95;NA190-1555.5;4.0;0.95;NA590;4.0;1.0;NA590;4.0;0.98;NA590;4.0;1.0;NA590;4.0;1.0;NA600.15.B3;4.0;0.95;;;
Histoire de l'urbanisme / par Pierre Lavedan,...;;NA9030 LAVE 1926-;NA9000-9428;4.0;1.0;NA9000-9428;4.0;0.98;NA9000-9428;4.0;1.0;NA9000-9428;4.0;1.0;NA9094;4.0;1.0;NA9027;4.0;0.95;NA9050.5;4.0;0.95;NA9030;4.0;0.95;NA9012;4.0;1.0;NA9094;4.0;1.0;;;
L'urbanisme souterrain / Sabine Barles, André Guillerme;;NA2542.7 BARL 1995;NA9000-9428;0.0;0.95;NA9000-9428;0.0;0.98;NA9000-9428;0.0;0.95;NA9000-9428;0.0;0.95;NA9094;0.0;0.95;NA9050.5;0.0;0.95;NA9050.5;0.0;0.95;NA9050.5;0.0;0.95;NA2542.7;4.0;0.95;"```json
{
  ""sous_classe"": ""NA9053.E58 BARL 200X"",  // Exemple de structure (à adapter selon le titre exact et l'année)
  ""confiance"": 0.95
}
```

**Explication détaillée (à intégrer dans la réponse JSON si nécessaire, mais ici en note pour clarifier) :**
Pour ce document sur **l'urbanisme souterrain**, les sujets RAMEAU prioritaires sont :
- **""Utilisation urbaine du sol""** (le plus pertinent)
- **""Constructions souterraines""** (complémentaire)
- **""Zones souterraines""** (spécifique).

**Analyse des sous-classes possibles :**
1. **NA9053** (autres sujets urbains) est la classe la plus adaptée pour des thèmes transversaux comme l’urbanisme souterrain, car elle couvre des aspects innovants ou spécifiques de l’urbanisme (ex. : *NA9053.E58* pour des études thématiques).
   - Sous-classe probable : **NA9053.E58 BARL 200X** (à remplacer par l’année réelle et le titre exact).
   - *Confiance élevée* (0.95) car :
     - **""Utilisation urbaine du sol""** est un sujet RAMEAU classé sous **NA9053** (ex. : *NA9053.C55* pour les clusters urbains).
     - **""Constructions souterraines""** relève aussi de l’urbanisme (ex. : *NA9053.E58* pour des études sur des formes urbaines émergentes).
     - Les autres sujets (*Politique urbaine*, *Urbanisme*) sont trop généraux pour une sous-classe précise.

2. **Alternative secondaire** :
   - **NA9050.5** (*Public architecture*) si le document aborde des aspects fonctionnels des constructions souterraines (ex. : transports, équipements publics).
   - **NA9094.8** (*19th century urbanism*) si le contexte historique est postérieur au XIXe siècle (mais moins probable ici).

**Pourquoi pas d’autres sous-classes ?**
- **NA9051** (*General works on urbanism*) est trop large.
- **NA9074** (*Pedestrian areas*) ou **NA9080** (*Collective works*) ne couvrent pas les constructions souterraines.
- **NA2542.7** (*Underground architecture*) est une sous-classe technique (NA2542) pour les aspects architecturaux *strictement* souterrains, mais moins adaptée pour un document sur l’**intégration urbaine** du sujet.

---
**Réponse finale (format JSON strict) :**
```json
{
  ""sous_classe"": ""NA9053.E58 BARL 200X"",  // À personnaliser avec l'année exacte et le titre (ex: NA9053.E58 BARL 2015)
  ""confiance"": 0.95
}
```";0.0;0.7;;;
Baroque : sculptures européennes (1600-1750) : [Exposition, Paris, Galerie Sismann du 25 mars au 30;NB;NB193 SISM 2022;NB1312-1313;0.0;0.9;NB1293-1895;0.0;0.95;NB1293-1895;0.0;0.98;NB60-1115;4.0;0.95;NB60-1115;4.0;0.95;NB193;4.0;1.0;NB193;4.0;1.0;NB193;4.0;1.0;NB193;4.0;1.0;NB193;4.0;1.0;;;
"La sculpture baroque italienne / Bruce Boucher ; traduit de l'anglais par Christian-Martin Diebold";NB;NB616 BOUC 1999;NB1330-1685;0.0;0.95;NB1330-1685;0.0;0.95;NB1330-1685;0.0;0.95;NB60-1115;4.0;0.98;NB620;4.0;1.0;NB193;4.0;1.0;NB193;4.0;1.0;NB193;4.0;1.0;NB193;4.0;1.0;NB193;4.0;1.0;;;
Schock und Vision, 1900-1950 : deutsch-französische Avantgarde im Bild = Choc et vision, 1900-1950 :;NC;NC980 SCHO 2005;NC950-996;4.0;0.95;NC1300-1766;0.0;0.95;NC950-996;4.0;0.95;NC950-996;4.0;0.95;NC950-996;4.0;0.95;NC1476.3;0.0;0.95;NC1476.3;0.0;0.95;NC1476.3;0.0;0.95;NC1875.A-Z;0.0;0.95;NC1476.3;0.0;0.95;;;
"Impressionnisme et littérature : [colloque, Rouen, 9-11 juin 2010 / organisé par le CEREDI] ; sous l";ND;ND192.I4 IMPR 2012;ND1410-1460;0.0;0.95;ND49-813;4.0;0.95;ND25-3416;0.0;0.95;ND25-3416;0.0;0.9;ND25-(48);0.0;0.95;ND177;4.0;0.95;ND177;4.0;0.95;ND172.I57;4.0;0.95;ND172.I67;4.0;0.95;ND172.I56;4.0;0.95;;;
L'héritage germanique dans l'approche du décor antique : actes de la table ronde organisée à l'Ecole;ND;ND2560 AFPM 2014;ND2550-2733;4.0;0.95;ND49-813;0.0;0.95;ND2550-2733;4.0;0.95;ND2550-2733;4.0;0.95;ND2550-2733;4.0;0.95;ND2575;4.0;0.95;ND1305;0.0;0.95;ND2980;0.0;0.95;ND2980;0.0;0.95;ND2900;0.0;0.95;;;
"Renaissance and baroque art : selected essays / Leo Steinberg ; edited by Sheila Schwartz";ND;ND170 STEI 2020;ND49-813;4.0;0.95;ND49-813;4.0;1.0;ND49-813;4.0;1.0;ND49-813;4.0;0.95;ND25-3416;0.0;0.95;ND1318.14;0.0;0.95;ND177;4.0;0.98;ND1318.14-ND1318.15;0.0;0.95;ND1318.14-ND1318.15;0.0;0.95;ND1318.14-ND1318.15;0.0;0.95;;;
L'iconographie de la 'Gloire à la sainte croix' de Raban Maur / Michel Jean-Louis Perrin;ND;ND1430 PERR 2009;ND2889-3416;0.0;0.95;ND2550-2733;0.0;0.95;ND2889-3416;0.0;0.95;ND2889-3416;0.0;0.95;ND2889-3416;0.0;0.95;ND3343.8;0.0;0.95;ND1329.3.A-Z;3.8;0.95;ND3356.5.CROS;0.0;0.95;ND1307;3.8;0.95;ND3343.8;0.0;0.95;;;
Saint Jérôme en Italie : étude d'iconographie et de spiritualité : XIIIe-XVe siècle / Daniel Russo;ND;ND1432.I8 RUSS 1987;ND1300-1337;3.8;0.95;ND1390-1393;3.8;0.95;ND1300-1337;3.8;0.95;ND1300-1337;3.8;0.95;ND1300-1337;3.8;0.95;ND1318.14;3.8;0.95;ND1318.14;3.8;0.95;ND1318.14;3.8;0.95;ND1318.14;3.8;0.95;ND1318.14;3.8;0.95;;;
"La peinture catalane / Joan Ainaud de Lasarte ; traduit de l'espagnol par Thomas Gomez";ND;ND809.C2 AINA 1990;ND49-813;4.0;0.95;ND49-813;4.0;0.95;ND25-3416;0.0;0.95;ND49-813;4.0;0.95;ND25-3416;0.0;0.95;ND1322.5;0.0;0.95;ND1318.1-1318.7;0.0;0.98;ND1324.CAT;0.0;1.0;ND1324.C3;0.0;1.0;ND1322.5.C3;0.0;0.95;;;
Autoportraits de Cézanne à Van Gogh : collections du musée d'Orsay & des musées Auvergne-Rhône-Alpes;ND;ND1316.5 AMBR 2023;ND1300-1337;4.0;0.95;ND1300-1337;4.0;0.95;ND1300-1337;4.0;0.95;ND1300-1337;4.0;0.95;ND1300-1337;4.0;0.95;ND1309.3;4.0;0.95;ND1318.15;4.0;0.95;ND1309.4;4.0;0.95;ND1318.14-1318.15;4.0;0.95;ND1329.9.V36;4.0;0.95;;;
Beelden voor passie en hartstocht : bid- en devotieprenten in de Noordelijke Nederlanden, 17de en 18;NE;NE958.3.N4 VERH 2006;NE1980-2055.5;0.0;0.95;NE1980-2055.5;0.0;0.95;NE1980-2055.5;0.0;0.95;NE1980-2055.5;0.0;0.95;NE1980-2055.5;0.0;0.95;NE671.2;0.0;0.98;NE285;0.0;0.75;NE671.2;0.0;0.98;NE671.2;0.0;0.95;NE671.2;0.0;0.95;;;
La mode en France, 1715-1815 : de Louis XV à Napoléon Ier : [exposition Kareina Kakumei', 1715 à 181;NK;NK4749.A1 MODE 1990;NK4700-4890;4.0;1.0;NK4700-4890;4.0;0.98;NK4700-4890;4.0;0.95;NK4700-4890;4.0;0.98;NK4749;4.0;1.0;NK7309.6;1.44;0.95;NK1370;0.0;0.7;NK770;0.0;0.95;NK13;0.0;0.98;NK4749;4.0;0.98;;;
En piste ! : les plus beaux costumes de cirque : [exposition, Moulins, Centre national du costume de;NK;NK4709 ENPI 2013;NK4700-4890;4.0;0.95;NK4700-4890;4.0;0.98;NK4700-4890;4.0;0.95;NK4700-4890;4.0;1.0;NK4749.C67;4.0;0.98;NK2712.66;0.0;0.95;NK4890.A-Z;4.0;0.55;NK2117.C67;0.0;0.95;NK7422.3;1.44;0.95;NK4749.C85;4.0;0.95;;;
Costumer le pouvoir : opéra et cinéma : [exposition, Moulins, Centre national du costume de scène et;NK;NK4706 COST 2012;NK4700-4890;4.0;0.95;NK4700-4890;4.0;0.95;NK4700-4890;4.0;0.95;NK4700-4890;4.0;0.95;NK4749.C66;4.0;0.95;NK4709.6;4.0;0.95;NK4860;4.0;0.6;NK2195.A-Z;0.0;0.95;NK2119;0.0;0.95;NK4749.C66;4.0;0.95;;;
"Garmenting : costume as contemporary art / Alexandra Schwartz ; essays by Lydia Brawner, Rhonda Gare";NK;NK4860 SCHW 2022;NK4700-4890;4.0;0.95;NK4700-4890;4.0;0.98;NK4700-4890;4.0;0.95;NK4700-4890;4.0;0.95;NK4700-4890;4.0;0.95;NK5101.A-Z;1.44;0.95;NK789;0.0;0.72;NK5109.3;1.44;0.95;NK775.5.A-Z;0.0;0.95;NK4743;4.0;0.95;;;
"Anni venti : la nascita dell'abito moderno / [direzione della mostra, Kirsten Aschengreen Piacenti ;";NK;NK4710 ANNI 1991;NK4700-4890;4.0;0.95;NK4700-4890;4.0;0.95;NK4700-4890;4.0;0.95;NK4700-4890;4.0;0.95;NK4749;4.0;0.98;NK770;0.0;0.98;NK789.5.A-Z;0.0;0.75;NK770;0.0;0.95;NK775;0.0;0.95;NK4749.A1 ANNI 2017;4.0;0.95;;;
"L'art décoratif en Europe . [2] . Classique et baroque / sous la direction de Alain Gruber,... ; ave";NK;NK925 GRUB 1992;NK1160-1174;0.0;0.95;NK1700-2195;0.0;0.95;NK1160-1174;0.0;0.95;NK1175-1498;0.0;0.95;NK1160-1174;0.0;0.95;NK760;0.0;0.95;NK607;0.0;0.75;NK760;0.0;0.95;NK770;0.0;0.95;NK760;0.0;0.98;;;
Future beauty : 30 years of Japanese fashion : [exhibition London, Barbican art gallery, 15 October;NK;NK4784.A1 FUTU 2010;NK4700-4890;4.0;0.95;NK4700-4890;4.0;0.98;NK4700-4890;4.0;0.95;NK4700-4890;4.0;0.95;NK4749.J3;4.0;0.95;NK5505.A-Z;1.44;0.95;NK8033.A-Z;1.44;0.55;NK4167.7;1.44;0.98;NK775.5.JAP;0.0;0.95;NK4749.A-Z;4.0;0.95;;;
"[Arts et objets du Maroc : le costume marocain, etc / texte de Jean Pierre Bernès ; photos: Office N";NK;NK1081.7.A1 BERN 1974;NK4700-4890;0.0;0.95;NK4700-4890;0.0;0.98;NK4700-4890;0.0;0.95;NK4700-4890;0.0;0.95;NK4749.B37;0.0;0.95;NK7608.92;0.0;0.95;NK101-377;0.0;0.85;NK7480;0.0;0.95;NK725;0.0;0.95;NK4749.M67;0.0;0.98;;;
The dictionary of fashion history : based on a dictionary of english costume, 900-1900 by C.W. and P;NK;NK4700.6 CUMM 2010;NK4700-4890;4.0;1.0;NK4700-4890;4.0;0.98;NK4700-4890;4.0;1.0;NK4700-4890;4.0;1.0;NK4743;4.0;0.95;NK30;0.0;1.0;NK1650;0.0;0.6;NK30;0.0;1.0;NK12;0.0;0.98;NK30;0.0;1.0;;;
"Le costume occidental : de l'Antiquité à la fin du XXe siècle / John Peacock ; [traduit de l'anglais";NK;NK4706 PEAC 2003;NK4700-4890;4.0;1.0;NK4700-4890;4.0;1.0;NK4700-4890;4.0;1.0;NK4700-4890;4.0;1.0;NK4700;4.0;0.95;NK7107;1.44;0.95;NK3670;1.44;0.85;NK7109;1.44;0.95;NK775;0.0;0.95;NK4749;4.0;0.95;;;
Modes en dentelles, 1590-1983 : [exposition], Musée de la mode et du costume, Palais Galliera, Paris;NK;NK9406 MODE 1983;NK4700-4890;1.44;0.95;NK4700-4890;1.44;0.98;NK4700-4890;1.44;0.98;NK4700-4890;1.44;0.95;NK4749;1.44;0.95;NK775;0.0;0.95;NK13.A-Z;0.0;0.98;NK775;0.0;0.95;NK775;0.0;0.95;NK4749;1.44;0.95;;;
"Histoire de la mode et du costume / James Laver ; avec un chapitre additionnel de Christina Probert";NK;NK4706 LAVE 1990;NK4700-4890;4.0;0.98;NK4700-4890;4.0;0.98;NK4700-4890;4.0;1.0;NK4700-4890;4.0;1.0;NK4700;4.0;1.0;NK1390;0.0;0.98;NK1380;0.0;0.98;NK1390;0.0;0.98;NK775;0.0;0.95;NK4749;4.0;1.0;;;
Robes du soir : [exposition], 27 juin - 28 octobre 1990, [Paris], Palais Galliera, Musée de la mode;NK;NK4749.A1 ROBE 1990;NK4700-4890;4.0;0.98;NK4700-4890;4.0;0.98;NK4700-4890;4.0;0.98;NK4700-4890;4.0;0.98;NK4749;4.0;1.0;NK1370;0.0;0.95;NK5506.A-Z;1.44;0.98;NK775;0.0;0.95;NK775;0.0;0.95;NK4749.F73 ROBES 1990;4.0;0.98;;;
Riding costume in Egypt : origin and appearance / edited by Cäcilia Fluck and Gillian Vogelsang-East;NK;NK4707.15 RIDI 2004;NK4700-4890;4.0;0.95;NK4700-4890;4.0;0.98;NK4700-4890;4.0;0.98;NK4700-4890;4.0;0.95;NK4743;4.0;0.95;NK6707.15;1.44;0.98;NK1190;0.0;0.95;NK6707.15;1.44;0.95;NK6707.15;1.44;0.95;NK6407.15;1.44;0.98;;;
Bibliography of costume : a dictionary catalog of about eight thousand books and periodicals / compi;NK;NK4700.7 HILE 1939;NK4700-4890;4.0;1.0;NK4700-4890;4.0;0.98;NK4700-4890;4.0;1.0;NK4700-4890;4.0;1.0;NK4700;4.0;1.0;NK5523;1.44;0.98;NK50;0.0;0.95;NK21;0.0;0.98;NK21;0.0;0.98;NK2116.5;0.0;0.98;;;
Le costume / Jacques Ruppert;NK;NK4706 RUPP 1930;NK4700-4890;4.0;1.0;NK4700-4890;4.0;1.0;NK4700-4890;4.0;1.0;NK4700-4890;4.0;1.0;NK4700-4890;4.0;1.0;NK7400;1.44;0.95;NK1380;0.0;0.98;NK7409;1.44;0.95;NK7400;1.44;0.95;NK607;0.0;0.95;;;
Histoire du costume d'Arles . Tome II . 1790-1840 . [1] . Néo-classicisme et romantisme / Odile et M;NK;NK4749.A75 PASC 1992-;NK4700-4890;4.0;1.0;NK4700-4890;4.0;0.98;NK4700-4890;4.0;1.0;NK4700-4890;4.0;1.0;NK4749.A75;4.0;0.98;NK775.5.A-Z;0.0;0.95;NK775;0.0;0.95;NK775.5.A-Z;0.0;0.95;NK775;0.0;1.0;NK4749.A73;4.0;0.98;;;
I Principi bambini : abbigliamento e infanzia nel Seicento : Firenze, Palazzo Pitti, Galleria del co;NK;NK4752.A1 PRIN 1985;NK4700-4890;4.0;0.95;NK4700-4890;4.0;0.95;NK4700-4890;4.0;0.95;NK4700-4890;4.0;0.95;NK4749;4.0;0.95;NK770;0.0;0.95;NK770;0.0;0.98;NK770;0.0;0.98;NK775.5.F;0.0;0.95;NK4749.A-FLO;4.0;0.95;;;
Barockissimo ! : Les Arts Florissants en scène : [exposition, Moulins, Centre national du costume de;NK;NK4709.65 ABIT 1998;NK4700-4890;4.0;0.95;NK1700-2195;0.0;0.98;NK4700-4890;4.0;0.95;NK1648-1678;0.0;0.95;NK4749.B27;4.0;0.95;NK770;0.0;0.98;NK4701.A-Z;4.0;0.98;NK770;0.0;0.98;NK770;0.0;0.98;NK4749.A1 BARO;4.0;0.95;;;
Stalles et miséricordes : spiritualité et truculence : Colloque de Vendôme, 20 septembre-1er octobre;NK;NK9749.A1 RENC 2000;NK1648-1678;0.0;0.95;NK1648-1678;0.0;0.95;NK1648-1678;0.0;0.95;NK1648-1678;0.0;0.95;NK2160-2169;0.0;0.95;NK7422;1.44;0.98;NK7422;1.44;0.98;NK4822;1.44;0.98;NK4800;1.44;0.95;NK4822.3;1.44;0.98;;;
Au paradis des dames : nouveautés, modes et confections : 1810-1870 : [exposition, Paris, Musée de l;NK;NK4749.P37 AUPA 1992;NK4700-4890;4.0;0.98;NK4700-4890;4.0;0.98;NK4700-4890;4.0;1.0;NK4700-4890;4.0;0.98;NK4749;4.0;1.0;NK1370;0.0;0.95;NK1355;0.0;0.98;NK1370;0.0;0.95;NK775;0.0;0.95;NK4749.P37;4.0;0.98;;;
Paris-couture-années trente : [exposition, Paris, Musée de la mode et du costume, 7 mai-30 septembre;NK;NK4749.P37 PARI 1987;NK4700-4890;4.0;0.98;NK4700-4890;4.0;0.95;NK4700-4890;4.0;0.98;NK4700-4890;4.0;0.95;NK4749;4.0;0.98;NK13.A-Z;0.0;0.95;NK2.A-Z;0.0;0.95;NK13.A-Z;0.0;0.98;NK13;0.0;0.98;NK4749;4.0;0.98;;;
Goddess : the classical mode : [Catalog of an exhibition held at The Costume Institute of The Metrop;NK;NK4706 KODA 2003;NK4700-4890;4.0;0.95;NK1700-2195;0.0;0.95;NK4700-4890;4.0;0.95;NK4700-4890;4.0;0.95;NK4749.A1;4.0;0.95;NK1652.3;0.0;0.95;NK5505;1.44;0.98;NK1652.3;0.0;0.95;NK760;0.0;0.95;NK4749.A1;4.0;0.95;;;
Carnaval de Rio : [exposition Carnaval de Rio présentée au Centre national du costume de scène et de;NK;NK4733 PINA 2021;NK4700-4890;4.0;1.0;NK1700-2195;0.0;0.95;NK4700-4890;4.0;0.95;NK4700-4890;4.0;0.95;NK4749.C26;4.0;0.95;NK9955.C67;1.44;0.95;NK5109.85.A-Z;1.44;0.95;NK9509.95.A-Z;1.44;0.95;NK9955.A-Z;1.44;0.95;NK4749.R55 CARN 20XX;4.0;0.95;;;
L'art du costume à la Comédie-Française : [exposition, Moulins, Centre national du costume de scène;NK;NK4749.P37 ARTD 2011;NK4700-4890;4.0;0.95;NK4700-4890;4.0;0.98;NK4700-4890;4.0;0.95;NK4700-4890;4.0;1.0;NK4749.C66;4.0;0.98;NK2703;0.0;0.98;NK2703;0.0;0.95;NK2703;0.0;0.98;NK2703;0.0;0.95;NK4749.P37;4.0;0.98;;;
"Le costume médiéval de 1320 à 1480 : la coquetterie par la mode vestimentaire / Florent Véniel ; ave";NK;NK4708 VENI 2021;NK4700-4890;4.0;0.95;NK4700-4890;4.0;0.98;NK4700-4890;4.0;0.95;NK4700-4890;4.0;0.95;NK4749.V35 VEN 2000;4.0;0.95;NK730;0.0;0.95;NK7309.8;1.44;0.98;NK730;0.0;0.98;NK730;0.0;0.98;NK730.A1;0.0;0.98;;;
"Costume jewelry for haute couture : [exhibition, ""Les Paruriers. Bijoux de la Haute Couture,"" at Gra";NK;NK4890.C67 MULL 2006;NK4700-4890;4.0;0.95;NK4700-4890;4.0;0.98;NK4700-4890;4.0;0.95;NK4700-4890;4.0;0.95;NK4743;4.0;0.95;NK5500;1.44;0.98;NK5505;1.44;0.98;NK5520;1.44;0.98;NK5019.A-Z;1.44;0.95;NK4743;4.0;0.95;;;
Image et mémoire : arts et littérature aux États-Unis (XXe-XXIe siècles) / Françoise Sammarcelli,...;NX;NX504 IMAG 2009;NX440-632;4.0;0.95;NX440-632;4.0;0.95;NX440-632;4.0;0.95;NX440-632;4.0;0.95;NX650-694;0.0;0.95;NX110.2;0.0;0.95;NX110.2;0.0;0.95;NX110.2.A-Z;0.0;0.95;NX110.5.A-Z;0.0;0.95;NX110.5.A-Z;0.0;0.95;;;
Romania ou l'Empire du soleil : l'émergence d'un mythe culturel européen (XVIIIe-XXe siècles) / Chri;NX;NX452.5.R64 IMBE 2022;NX440-632;4.0;0.95;NX440-632;4.0;0.95;NX440-632;4.0;0.95;NX440-632;4.0;0.95;NX440-632;4.0;0.95;NX495.A-Z;4.0;0.95;NX495;4.0;0.95;NX495.A-Z;4.0;0.95;NX154.5.A-Z;0.0;0.95;NX154.5;0.0;0.95;;;
Vertige du surréalisme : art & littérature / Yves Peyré;NX;NX456.5.S8 PEYR 2024;NX440-632;4.0;0.95;NX440-632;4.0;0.95;NX440-632;4.0;0.95;NX440-632;4.0;0.95;NX440-632;4.0;0.95;NX450.6.SUR;4.0;0.95;NX49.5.A-Z;0.0;0.95;NX450.6.SUR;4.0;0.95;NX12.5.A-Z;0.0;0.95;NX450.6;4.0;0.95;;;
Le sacrifice imaginaire : essai sur la religion de l'art chez les modernes / Jean Nayrolles;NX;NX180.R4 NAYR 2020;NX650-694;0.0;0.95;NX650-694;0.0;0.95;NX650-694;0.0;0.95;NX650-694;0.0;0.95;NX650-694;0.0;0.95;NX12.5.R6;4.0;0.95;NX12.5.A-Z;4.0;0.95;NX12.5.R66;4.0;0.95;NX12.5.R6;4.0;0.95;N72.R4;0.0;0.98;;;
Faire peur : aux limites du visible : 16 réflexions entre histoire, littérature et arts = Far paura;NX;NX650.E46 FRAN 2019;NX650-694;4.0;0.95;NX650-694;4.0;0.95;NX650-694;4.0;0.95;NX650-694;4.0;0.95;NX650.P48 FAI 2023;4.0;0.95;NX12.5.A-Z;0.0;0.95;NX0.4;1.0;0.95;NX12.5.P43;0.0;0.95;NX12.5.P4;0.0;0.95;NX12.5.P48;0.0;0.95;;;
"Les arts : quand ils se rencontrent / XIIes Entretiens de La Garenne Lemot, [6-8 octobre 2005] ; [or";NX;NX640 ENTR 2009;NX650-694;0.0;0.95;NX420;0.0;0.95;NX650-694;0.0;0.95;NX650-694;0.0;0.95;NX650.R45;0.0;0.95;NX180;0.0;0.95;NX160;0.0;0.95;NX180;0.0;0.95;NX160;0.0;0.95;NX650;0.0;0.95;;;
"Esthétique(s) ""queer"" dans la littérature et les arts : sexualités et politiques du trouble / sous l";NX;NX650.H6 ESTH 2015;NX650-694;4.0;0.95;NX650-694;4.0;0.95;NX650-694;4.0;0.95;NX650-694;4.0;0.95;NX650-694;4.0;0.95;NX12.5.Q43;0.0;0.95;NX12.5.A-Z;0.0;0.95;NX12.5.Q43;0.0;0.95;NX12.5.A-Z;0.0;0.95;NX180.G56;0.0;0.95;;;
